id,site,job_url,job_url_direct,title,company,location,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
gd-1009947733243,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1009947733243,,Software Engineer II,PlayStation Global,,,direct_data,yearly,163700.0,245500.0,USD,True,,,organic,,"Position Type:
Location(s):
United States, Remote
Date Posted:
Job ID:
R\-122414
  
**Why PlayStation?**


PlayStation isn’t just the Best Place to Play — it’s also the Best Place to Work. Today, we’re recognized as a global leader in entertainment producing The PlayStation family of products and services including PlayStation®5, PlayStation®4, PlayStation®VR, PlayStation®Plus, acclaimed PlayStation software titles from PlayStation Studios, and more.


PlayStation also strives to create an inclusive environment that empowers employees and embraces diversity. We welcome and encourage everyone who has a passion and curiosity for innovation, technology, and play to explore our open positions and join our growing global team.


The PlayStation brand falls under Sony Interactive Entertainment, a wholly\-owned subsidiary of Sony Group Corporation.

**Seeking multiple positions \| multiple levels of experience**

**Why PlayStation?**


PlayStation isn’t just the Best Place to Play — it’s also the Best Place to Work.


Today, we’re recognized as a global leader in entertainment producing the PlayStation family of products and services including PlayStation®5, PlayStation®4, PlayStation®VR, PlayStation®Plus, acclaimed PlayStation software titles from PlayStation Studios, and more.


PlayStation also strives to create an inclusive environment that empowers employees and embraces diversity. We welcome and encourage everyone who has a passion and curiosity for innovation, technology, and play to explore our open positions and join our growing global team.


The PlayStation brand falls under Sony Interactive Entertainment, a wholly owned subsidiary of Sony Corporation.

### **Responsibilities**

* Design, develop, test, and document React and React Native–based cross\-platform client applications that deliver seamless and consistent user experiences across desktop and mobile environments, including iOS, iPadOS, and macOS.
* Work closely with Product Owners and Product Managers to translate product requirements into well\-structured, maintainable code.
* Collaborate with cross\-functional teams to define and refine technical approaches that support performance, accessibility, and scalability.
* Write robust unit and component tests to ensure reliability and prevent regressions.
* Review and provide feedback on design documents and pull requests.
* Continuously learn, experiment, and bring forward innovative ideas — participate in Hackathons and Café Days to help shape the future of PlayStation experiences.
* Contribute to evolving engineering standards and advocate for clean, sustainable coding practices.

### **Required Qualifications**

* Bachelor’s degree in Computer Science or a related field, or at least three years of equivalent professional experience.
* 2\+ years of front\-end or full\-stack development experience.
* Proficiency in HTML, CSS, JavaScript/TypeScript, and experience with frameworks such as React and React Native.
* Experience developing and debugging cross\-platform applications for environments such as iOS, iPadOS, and macOS.
* Strong problem\-solving skills and a passion for quality software.
* Excellent communication skills and a collaborative mindset.

### **Preferred Qualifications**

* Hands\-on experience with React Native bridges and native integrations using Objective\-C, Swift, or C\+\+.
* Familiarity with GraphQL, REST APIs, and containerization tools such as Docker.
* Understanding of cross\-platform build pipelines and CI/CD practices.
* Experience working with performance optimization, accessibility, and responsive design principles.
* Curiosity about AI\-assisted development tools or automation that improves developer productivity.

 ***Please refer to our*** ***Candidate Privacy Notice*** ***for more information about how we process your personal information, and your data protection rights.***

  

At SIE, we consider several factors when setting each role’s base pay range, including the competitive benchmarking data for the market and geographic location.  

  

Please note that the base pay range may vary in line with our hybrid working policy and individual base pay will be determined based on job\-related factors which may include knowledge, skills, experience, and location.  

  

In addition, this role is eligible for SIE’s top\-tier benefits package that includes medical, dental, vision, matching 401(k), paid time off, wellness program and coveted employee discounts for Sony products. This role also may be eligible for a bonus package.

  

The estimated base pay range for this role is listed below.
$163,700—$245,500 USD**Equal Opportunity Statement:**

*Sony is an Equal Opportunity Employer. All persons will receive consideration for employment without regard to gender (including gender identity, gender expression and gender reassignment), race (including colour, nationality, ethnic or national origin), religion or belief, marital or civil partnership status, disability, age, sexual orientation, pregnancy, maternity or parental status, trade union membership or membership in any other legally protected category.*

*We strive to create an inclusive environment, empower employees and embrace diversity. We encourage everyone to respond.*

*PlayStation is a Fair Chance employer and qualified applicants with arrest and conviction records will be considered for employment.*",,https://www.glassdoor.co.in/Overview/W-EI_IE117138.htm,https://media.glassdoor.com/sql/117138/playstation-squareLogo-1613048017082.png,,,,,,,,,,,
gd-1009947530493,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1009947530493,,Open Source Developers,Mercor,"San Francisco, CA",,direct_data,hourly,90.0,120.0,USD,False,,,organic,,,,https://www.glassdoor.co.in/Overview/W-EI_IE3426548.htm,https://media.glassdoor.com/sql/3426548/mercor-poland-squarelogo-1637243262831.png,,,,,,,,,,,
gd-1009947711094,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1009947711094,,Full Stack Software Engineer,Lineage Technologies,,,direct_data,yearly,200000.0,400000.0,USD,True,,,organic,,"**About Lineage**



At Lineage, we're transforming real estate investment by simplifying the process of discovering and investing in real estate in order to build generational wealth for our customers. We provide a modern, all\-in\-one platform that helps investors, property managers, and partners succeed through hands\-on education, asset management, and investment property marketplace. With over $1\.5 billion in transactions, we're simplifying rental property ownership and empowering everyday people to build long\-term wealth—anytime, anywhere.


**Position Overview**



We're growing our engineering organization and hiring multiple **Full Stack Software Engineers** with varying degrees of experience. If you excel at building end\-to\-end systems \- combining thoughtful backend architecture with intuitive, performant front\-end experiences, this is the team for you.



We welcome engineers who bring deep experience across the stack. If you have the skills, we have meaningful problems for you to own. You'll join a collaborative, remote environment where curiosity, quality, and continuous learning are celebrated. Together we'll shape how we design, build, and scale the technology that powers our mission to make real estate investing more accessible to all.



**Key Responsibilities**


* Design, implement, and maintain scalable, reliable, and secure full stack applications.
* Build and maintain modern single\-page applications (SPAs), APIs, and supporting services.
* Integrate and unify third\-party data sources within relational and NoSQL datastores.
* Write clean, well\-tested code.
* Apply strong testing practices (unit and integration) to ensure production\-ready quality.
* Participate in code reviews and share thoughtful, constructive feedback.
* Collaborate with product, design, and engineering teammates to deliver great user experiences.
* Continuously learn and apply new tools, frameworks, and techniques to improve how we build.


**Qualifications**


* 6\+ years of experience as a full stack software engineer.
* Strong experience in cloud\-native development using AWS (Lambda, ECS, API Gateway, S3, SNS, SQS, Step Functions and DynamoDB).
* Experience building SPAs and APIs with React.js and supporting backend services.
* Proficiency with Python, SQL, and TypeScript in production environments.
* Experience writing and maintaining unit and integration tests.
* Proven ability to design and implement CI/CD pipelines in cloud\-based workflows, ensuring consistent, automated deployments.
* Practical understanding of secure coding practices and how to address the OWASP Top 10 vulnerabilities in real\-world applications.
* Comfortable working with agentic AI\-powered development tools (e.g., Cursor, Claude Code) to accelerate development without sacrificing quality.
* Pixel\-perfect front\-end skills including proficiency implementing mobile\-first UI designs provided by a designer.
* Experience developing with modern frameworks such as Next.js and styling systems like Tailwind CSS.
* Exposure to or interest in programming languages such as Rust, with a willingness to expand into other technologies when needed.
* A commitment to clarity, quality, and accountability in your code and communication.
* A willingness to work closely with others and contribute to a team\-driven culture.
* A 'Stronger Together' attitude and a desire to do your best work in an open, respectful environment.


**Additional Requirements**



Candidates must be able to perform essential functions as outlined above, including but not limited to:


* Operate a computer and sit for long periods of time
* Repeat motions that may include the wrists, hands, or fingers
* Position is sedentary with occasional light lifting

  


**Our Core Values**


**FUN:** We create authentic moments of enjoyment with our team and customers. Winning is fun, but so is playing the game.


**TRUST:** We act with integrity in all aspects of our business, building confidence inside and outside our organization.


**DWYSYD (Do What You Say You Will Do):** We are reliable, consistent, and take commitments seriously. Accountability drives performance.


**TRANSPARENCY:** Clear communication and shared awareness allow us to address challenges head\-on and make better decisions.


**TEAM FOCUS:** We leverage collective capabilities and empower others to do great things. Collaboration drives success.


**RESULTS DRIVEN:** We maintain constant focus on achieving measurable goals aligned with our mission and objectives.

  


**Why Join Lineage?**


**Growth \& Impact:** We're 3x\-ing our team over the next 12 months. You'll have significant autonomy, direct mission impact, and clear paths to leadership as we revolutionize how millions invest in real estate.


**Remote\-First:** We thrive as a globally distributed team with a bias for action, staying true to our core values while defining the future of real estate investing.


**Your Opportunity:** We're making institutional\-grade investing accessible to everyone \- work that's both technically challenging and deeply meaningful.


**We're looking for:** Ambitious people excited to tackle big challenges. No ""perfect"" candidate exists—we encourage applications even if you don't check every box. Lineage is where you grow professionally while contributing to something bigger than yourself.

  


**Compensation and Benefits**


**Salary Range:** $200,000 \- $400,000 per year, commensurate with skills and experience


**Equity Grants:** Ownership opportunities through our employee equity program


**Flexible PTO:** Take time when you need it


**Remote\-First:** Work with a high\-performing, distributed team


**Health Coverage:** 75% company\-paid medical, dental, and vision insurance

  


*Lineage is committed to creating an inclusive and respectful work environment where everyone brings their authentic self to work. We do not discriminate based on race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, disability status, or any other protected status under applicable law.*

  

**Notice to California Applicants:**



We collect personal information as part of the job application process in accordance with the California Consumer Privacy Act (CCPA). This includes identifiers, work history, and other relevant details used for recruitment purposes. We retain your data for up to 12 months and do not sell or share it for commercial purposes.",,https://www.glassdoor.co.in/Overview/W-EI_IE670395.htm,https://media.glassdoor.com/sql/670395/lineage-squareLogo-1625847937169.png,,,,,,,,,,,
gd-1009947662590,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1009947662590,,Software Engineering Manager,One Inc,,,,,,,,True,,,organic,,,,https://www.glassdoor.co.in/Overview/W-EI_IE1198151.htm,https://media.glassdoor.com/sql/1198151/one-inc-squareLogo-1684850411326.png,,,,,,,,,,,
gd-1009947503983,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1009947503983,,AI/LLM Engineer (remote),Safe Sign Technologies,"Cambridge, MA",,direct_data,yearly,150000.0,150000.0,USD,False,,,organic,,"Join Safe Sign Technologies, a cutting\-edge legal technology start\-up founded at the University of Cambridge. Safe Sign aims to democratise the law for all people, equipping consumers and SMEs with robust and reliable tools to navigate legal complexity. As an **AI/LLM Engineer**, you will work alongside a world\-leading team, innovating and delivering best\-in\-class technologies, often in demanding conditions and against challenging deadlines. Independent working, subject matter excellence and proactiveness are essential.

 **Responsibilities**


* LLM prompt engineering (Instruction Tuning, Chain\-of\-thought, automated prompt Engineering)
* LLM training \& fine\-tuning (Parameter Efficient, Few\-medium shot, )
* Experimentation
* Analysis and presenting results
* Active study and keeping up with research literature
* Ability to work independently
* Ability to work towards an agreed goal and meet demanding deadlines

**Qualifications and experience**

* Bachelor's degree in Computer Science, Engineering, Mathematics or related fields
* Ability to implement and verify state\-of\-the\-art algorithms
* Experience running and managing experiments, analysing results and creating insights
* Proficiency in software development (Python, Github, Jupyer Notebooks, etc.)
* Proficiency with deep learning packages (such as PyTorch, Jax, or TensorFlow)
* Experience with ML / LLM Software packages (e.g. HuggingFace, wandb, numpy, matplotlib, NLTK, etc.)
* Good problem\-solving and communication skills
* Ability to work in a dynamic and fast\-paced environment
* Ability to demonstrate passion and knowledge in terms of relevant research topics
* Experience solving complex technical problems

**Qualifications and experience (preferred)**

* Master's or PhD in NLP or Machine Learning
* First author/lead author publications at leading AI and NLP conferences (such as EMNLP, ACL, ICLR, ICML, NeuRIPS)
* Demonstrated projects where relevant expertise has been used for real problems
* Several years of experience working in this field

**Salary \& Benefits**

* Up to $150k/year salary
* Real ability to shape technical agenda and have a deep impact
* Mentorship and advice from top ML scientists (ex\- or current DeepMind, Cambridge, UCL, Harvard)
* Fully remote working",,https://www.glassdoor.co.in/Overview/W-EI_IE9387560.htm,,,,,,,,,,,,
gd-1009947502490,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1009947502490,,Python Developer: Real-Time Intelligent Communication Systems,Entratus,"Orlando, FL",,,,,,,False,,,organic,,"Candidates in the following states are encouraged to apply: **FLORIDA**

  



Company Overview



Join our innovative technology team, developing cutting\-edge solutions for agentic, context\-aware intelligent conversations. We specialize in building platforms and products that deliver conversational agents pulling real\-time data for advanced, interactive experiences.

  



Job Summary



We are seeking a Python Developer to join our dynamic team working on a real\-time distributed communication framework. You will contribute to our Python\-based back\-end services, collaborating with Senior Developers and the Product Owner to build and optimize features.

  

This position offers an excellent opportunity to learn from experienced engineers, develop skills in asynchronous programming, containerization, and distributed systems, and contribute to the next generation of AI\-powered applications.

  



Key Responsibilities



* Python Development
	+ Contribute to backend services and APIs using Python, with a focus on asynchronous frameworks (e.g., FastAPI, Asyncio, Uvicorn, Aiohttp).
	+ Write clean, maintainable, and efficient Python code that aligns with team standards and best practices.
* Real\-Time Communication Systems
	+ Assist in maintaining and optimizing the existing distributed communication framework.
	+ Support the integration and troubleshooting of real\-time data pipelines, ensuring low\-latency and high\-availability.
* Data Processing \& Integration
	+ Use libraries like Pandas, Openpyxl, and Python Dateutil for data manipulation and transformation.
	+ Work with SQLAlchemy, Psycopg2, and Pgvector to manage database interactions and data storage.
* AI \& Machine Learning Exposure
	+ Collaborate with Senior Developers to integrate or optimize ML/NLP components (LangChain, Tiktoken, Litellm, Semantic Router) into the communication platform.
	+ Participate in code reviews and brainstorming sessions for AI\-related features.
* Configuration \& Testing
	+ Help manage environment settings.
	+ Write and maintain Pytest test cases to ensure code quality and reliability.
	+ Implement error monitoring and logging.
* Collaboration \& Learning
	+ Work closely with senior team members to understand product requirements, implement solutions, and refine features.
	+ Participate in agile ceremonies (stand\-ups, sprint planning, retrospectives), providing updates and feedback.
	+ Seek out opportunities for personal and professional growth, actively engaging in mentorship and knowledge sharing.

  


Required Qualifications


* 2\+ year of experience in Python development.
* Basic understanding of asynchronous programming and/or multi\-threading concepts.
* Familiarity with data manipulation libraries (e.g., Pandas, Openpyxl, Numexpr, Tqdm).
* Understanding of RESTful API design and web frameworks (e.g., FastAPI, Flask, or similar).
* Exposure to database technologies (SQL or NoSQL) and libraries like SQLAlchemy.
* Excellent communication skills and a willingness to learn from senior engineers and collaborate with the team.
* Bachelor’s degree in Computer Science, Engineering, or a related field (or equivalent experience).
* Experience with version control systems (Git, GitHub, or similar).

  



Preferred Qualifications


* Experience with in\-memory data stores.
* Familiarity with Node.js or willingness to learn for integrations.
* Exposure to Docker or other containerization tools.
* Basic understanding of cloud services (e.g., Azure Storage Blob, AWS, or similar).
* Interest or prior experience in AI/ML or NLP libraries.
* Understanding of CI/CD processes and DevOps best practices.

  



Why Join Us?


* Mentorship \& Growth: Work alongside senior developers committed to your professional development.
* Cutting\-Edge Technologies: Gain exposure to real\-time communication frameworks, containerization, and AI/ML tools.
* Innovative Culture: Collaborate in a forward\-thinking environment shaping the future of intelligent conversation systems.
* Hybrid Opportunity: Enjoy flexibility in a mostly remote setting, occasional visits to main offices required.

  



Location: Remote with some travel for meetings and to offices in Orlando or Deerfield Beach may be required.

  



Compensation: Competitive salary, along with benefits and opportunities for professional development.

  



If you’re passionate about learning and contributing to scalable, real\-time Python applications in an AI\-driven environment, we’d love to hear from you. Apply today and start your journey with us!",,,,,,,,,,,,,,
gd-1009947503806,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1009947503806,,Full-Stack Creative (Design + Video),Novus Brands,,,direct_data,monthly,1500.0,1500.0,USD,True,,,organic,drew@novusbrands.co,"**About Novus Brands**

We’re not an agency. We’re not a studio. We’re a machine for launching iconic consumer  
brands—again and again and again.

Novus Brands is a new kind of holdco: data\-led, creative\-obsessed, and built for speed. We launch multiple new brands per quarter across beauty, wellness, food, pet, and beyond. Think of us like if Y Combinator and Liquid Death had a baby—and that baby was raised on TikTok, not spreadsheets.

Our process blends fast feedback loops with a deep love for storytelling. We let the data tell us what to build, then we wrap it in beautiful, punch\-you\-in\-the\-face brand experiences. The goal? Build a billion\-dollar shelf of products people actually want, delivered in ways they’ll never forget.

Now we’re looking for a one\-person creative wrecking crew.

**The Role: Full\-Stack Creative (Design \+ Video)**

We’re hiring a hybrid creative who can do both: cut direct\-response video ads and design high\-converting static graphics across multiple consumer brands.

This is a 20–25 hr/week contractor role to start, with the potential to scale to full\-time as Novus launches more brands. You’ll be on weekly creative sprints—designing, editing, iterating, and shipping. Fast.

This is not a role for someone who wants to be “creative adjacent.” This is a hands\-on, performance\-first creative role for someone who can balance design eye with data—and wants to ship at volume.

**What You’ll Do**

* Cut and edit short\-form ads for TikTok, Meta, and YouTube (direct\-response style)
* Design static and motion graphics for paid ads, landing pages, email, and socials
* Adapt to different brand aesthetics—but always keep conversion at the core
* Create and iterate 10\+ versions of the same creative concept, testing variations
* Analyze performance data and evolve creative based on what’s working
* Join weekly creative sprints and deliver assets on tight deadlines
* Balance multiple brands and multiple deliverables at once
* Use AI or automation tools when helpful to boost speed and quality

**What We’re Looking For**

* Strong design eye \+ strong editing chops
* Tools: Premiere, Final Cut, CapCut Pro, After Effects, Photoshop, Figma (or similar)
* Deep knowledge of e\-commerce ad trends across Meta, TikTok Shop, and YouTube
* Obsessed with what scroll\-stops, sells, and scales
* Fast turnaround. Comfortable producing dozens of creative variations quickly
* Not precious about your work. You ship, test, iterate, move on
* Zero handholding. You’re proactive, organized, and own your output
* Can manage 20–25 hrs/week consistently with potential to scale

**What Success Looks Like**

* Ad creatives that convert and scale
* Weekly drops of new, tested assets across multiple brands
* Clear creative iteration cycles based on real data
* A growing creative system that drives down CAC and boosts performance across the board
* You becoming the go\-to creative engine powering launches inside Novus

**Comp \& Commitment**

* $1,500/month contractor retainer
* Brand\-by\-brand profit share
* 20–25 hrs/week to start
* Weekly creative sprints
* Room to scale to full\-time as we grow

**Why Now**

We’re building an iconic brand launch engine on the internet \- and creative is the fuel. This isn’t a side gig. This is a chance to shape dozens of brands and build a portfolio that punches way above your weight. If you’ve got the design chops, editing skills, and hustle to match \- let’s go.

**How to Apply:**

**Email:** drew@novusbrands.co  
**Subject:** Full\-Stack Creative – \[Your Name]  
**Include:** Your portfolio, ads, TikToks, static designs, motion graphics—whatever shows us what you can do.

Job Type: Contract

Pay: $1,500\.00 per month

Work Location: Remote",,,,,,,,,,,,,,
gd-1009947363427,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1009947363427,,Software Engineer - Limited Tenure,Mayo Clinic,"Rochester, MN",,direct_data,yearly,100339.0,140462.0,USD,False,,,organic,,"**Why Mayo Clinic**

  

Mayo Clinic is top\-ranked in more specialties than any other care provider according to U.S. News \& World Report. As we work together to put the needs of the patient first, we are also dedicated to our employees, investing in competitive compensation and comprehensive benefit plans – to take care of you and your family, now and in the future. And with continuing education and advancement opportunities at every turn, you can build a long, successful career with Mayo Clinic.  


  

**Benefits Highlights**
  

* Medical: Multiple plan options.
* Dental: Delta Dental or reimbursement account for flexible coverage.
* Vision: Affordable plan with national network.
* Pre\-Tax Savings: HSA and FSAs for eligible expenses.
* Retirement: Competitive retirement package to secure your future.
  
  

  

**Responsibilities**  

Mayo Clinic is seeking a Software Engineer to design, develop, and maintain robust .NET\-based back\-end services supporting a broad portfolio of genomics and clinical applications. These systems operate across on\-premises environments and modern cloud platforms, including Azure and Google Cloud Platform (GCP), and integrate with distributed services through secure APIs and web services.  

The Software Engineer will build and optimize services that handle complex genomic workflows, large\-scale clinical datasets, and high\-throughput data processing. This includes ensuring that all services meet strict performance, reliability, and accuracy requirements, scale effectively as data volumes grow, and remain resilient within hybrid cloud ecosystems.  

The role collaborates closely with Product Owners, Product Managers, Architects, and cross\-functional engineering partners to translate requirements into well\-architected, maintainable code. Responsibilities include designing and implementing services aligned to enterprise architecture, including cloud\-ready APIs, data integration pipelines, and secure interoperability layers for genomic systems.  

The engineer participates in Agile and DevOps practices using GitHub, Azure DevOps (ADO), Azure Pipelines, and CI/CD frameworks. Work may include deployment automation and configuration management using tools such as ARM/Bicep, Terraform, Cloud Build, or Azure Pipelines, supporting both on\-prem and cloud\-hosted applications.  

Development efforts leverage modern .NET technologies, cloud\-native patterns, API\-first design, and secure coding practices. Responsibilities also include maintaining comprehensive technical documentation, contributing to code reviews, and participating in expert\-level troubleshooting through log analysis, root cause evaluation, and data/system investigation.  

This position requires effective communication with peers, leaders, and clinical partners across the organization. The engineer will continue to build knowledge of genomics workflows, organizational processes, and customer needs while performing a range of technical assignments with moderate guidance and increasing autonomy.  

  

This is a full time, limited tenure, remote position funded for 3 years. Mayo Clinic will not sponsor or transfer visas for this position including F1 OPT STEM.

 **Qualifications**  

Bachelor's Degree in Computer Science/Engineering or related field; Or an Associates’ degree in Computer Science/Engineering or related field with an additional 2 years of experience as described below.  

  

* Have working knowledge and experience of Software Engineering with a minimum of internships and a minimum of 1 yr. of experience, or 2yrs of experience coding applications or services in a high\-level language (C, C\+\+, Golang, Java, C\# etc.).
* Demonstrated problem solving and time management skills.
* Possesses strong technical aptitude for designing and implementing software solutions.
* Experience with modern application development frameworks
* Knowledge of professional software engineering practices \& best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations.
* Deep hands\-on technical expertise, excellent verbal and written communication skills.
* Experience with Agile software development techniques.


Preferred qualifications for this position include:  

* Ability to use a wide variety of open\-source technologies and cloud\-based services.
* Experience with Google and Azure cloud environments
* Experience in databases, analytics, big data systems or business intelligence products
* Experience with building high\-performance, highly available and scalable distributed systems.
* Experience developing software for healthcare related industries.

  

Preferred qualifications:
* Experience developing applications in hybrid environments, including on\-premises systems, Azure, and Google Cloud Platform (GCP).
* Familiarity with building and integrating RESTful APIs, microservices, and web services using .NET technologies.
* Knowledge of DevOps pipelines and CI/CD using Azure DevOps, GitHub Actions, or Azure Pipelines.
* Utilization of AI coding tool such as GitHub CoPilot, Gemini, Claude
* Experience with relational and NoSQL databases, analytics platforms, big\-data processing, or enterprise data pipelines.
* Background in developing high\-performance, scalable, and highly available distributed systems.
* Experience supporting or developing solutions in healthcare, clinical, Bioinformatics or genomics\-focused applications is highly desirable.

  

  

**Exemption Status**  

  

Exempt  

  

**Compensation Detail**  

  

$100,339\.20 \- $140,462\.40 / year  

  

**Benefits Eligible**  

  

Yes  

  

**Schedule**  

  

Full Time  

  

**Hours/Pay Period**  

  

80  

  

**Schedule Details**  

  

Monday \- Friday, 8am \- 5pm  

  

**International Assignment**  

  

No  

  

**Site Description**  


Just as our reputation has spread beyond our Minnesota roots, so have our locations. Today, our employees are located at our three major campuses in Phoenix/Scottsdale, Arizona, Jacksonville, Florida, Rochester, Minnesota, and at Mayo Clinic Health System campuses throughout Midwestern communities, and at our international locations. Each Mayo Clinic location is a special place where our employees thrive in both their work and personal lives. Learn more about what each unique Mayo Clinic campus has to offer, and where your best fit is.  


  

**Equal Opportunity**
  

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender identity, sexual orientation, national origin, protected veteran status or disability status. Learn more about the ""EOE is the Law"". Mayo Clinic participates in E\-Verify and may provide the Social Security Administration and, if necessary, the Department of Homeland Security with information from each new employee's Form I\-9 to confirm work authorization.  

  

  

**Recruiter**  

  

Ted Keefe",,https://www.glassdoor.co.in/Overview/W-EI_IE19884.htm,https://media.glassdoor.com/sql/19884/mayo-clinic-squareLogo-1711392578622.png,,,,,,,,,,,
gd-1009947263103,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1009947263103,,Autonomy Applications Engineer,Edge Autonomy,"San Luis Obispo, CA",,direct_data,yearly,140000.0,170000.0,USD,False,,,organic,,,,https://www.glassdoor.co.in/Overview/W-EI_IE3603772.htm,https://media.glassdoor.com/sql/3603772/jennings-aeronautics-squarelogo-1643375343110.png,,,,,,,,,,,
gd-1009947312562,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1009947312562,,Sr. ITS Technical Consultant,Parsons,United States,,direct_data,yearly,128700.0,231700.0,USD,False,,,organic,,,,https://www.glassdoor.co.in/Overview/W-EI_IE4006.htm,https://media.glassdoor.com/sql/4006/parsons-corporation-squarelogo-1586357018632.png,,,,,,,,,,,
