id,site,job_url,job_url_direct,title,company,location,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
gd-1009948325553,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1009948325553,,SOC Engineer (Remote role),"Protos IT, LLC",,,direct_data,hourly,70.0,75.0,USD,True,,,organic,,"Job Title: SOC Engineer

Location: Remote (Pref local to Washington, DC )

Duration: 6 \+ Months contract TO Hire

**US Citizens are encouraged to apply for this position, Pref consultants with Active public trust clearance.** 

This role focuses on engineering SOC data feed solutions, implementing SOAR capabilities, and ensuring feed health through cross\-team collaboration. The ideal candidate will have strong cybersecurity expertise, including network security, SIEM, incident response, and threat detection.

They will also serve as the backup SOC Lead, overseeing operations, managing escalations, and providing updates to senior leadership during critical incidents when the primary lead is unavailable.

​Key Responsibilities  
\- ​Microsoft Sentinel Engineering: Maintain and optimize a Microsoft Sentinel SIEM/SOAR solution in alignment with client requirements, industry best practices, and federal compliance mandates.  
\- ​Data Integration: Configure and manage log/data feeds from diverse sources (e.g., Fluent Bit, Windows Events, M365, cloud services, endpoint/security platforms).  
​\- Parsing \& Normalization: Develop and refine log parsing rules using Regex, DCRs, and custom transformations to ensure accurate and usable data in Sentinel.  
\- ​SOAR Development: Engineer automation and orchestration solutions using Microsoft Logic Apps, Azure Functions, and PowerShell/Python scripts to improve SOC efficiency and incident response.  
\- ​Threat Detection Engineering: Build, tune, and optimize analytic rules, UEBA, dashboards, and reports to improve detection and response coverage.  
​\- Collaboration: Partner with cross\-functional teams (network, endpoint, cloud, IT ops) to integrate new data sources and deliver actionable SOC capabilities.  
​\- Documentation \& Knowledge Transfer: Develop and maintain clear documentation of SOC architecture, log source onboarding, and automation playbooks; provide training for SOC analysts on new tools and processes.  
​\- Advisory \& Improvement: Conduct gap analyses of existing SOC capabilities, recommend improvements, and contribute to SOC process maturity.  
​\- Incident Response Support: Provide Tier 3 support and assist with complex investigations when required.

​Required Qualifications  
​\- U.S. Citizen with ability to obtain Public Trust clearance.  
​\- 2–5 years of experience in network defense, SOC engineering, or cybersecurity operations.  
\- ​Hands\-on experience with Microsoft Sentinel, including log onboarding, rule development, and automation.  
​\- Proficiency with log parsing and normalization (Regex, Fluent Bit, DCRs, KQL).  
​\- Strong scripting skills in PowerShell and/or Python for automation and data handling.  
​\- Experience configuring and maintaining data feeds for SOC visibility (cloud, endpoint, network, and on\-prem).  
​\- Familiarity with incident response concepts, threat detection engineering, and SOAR workflows.  
​\- Excellent written and verbal communication skills with ability to work across technical and non\-technical teams.

​Preferred Qualifications  
\- Knowledge of federal cybersecurity mandates (M\-21\-31, NIST Cybersecurity Framework, CISA Incident/Vulnerability Playbooks, BOD 22\-01\).  
\- Experience with Microsoft Logic Apps, Azure Functions, or other SOAR development platforms.  
​\- Experience with UEBA configuration to enhance anomaly detection.  
​\- Background in AI/ML frameworks for cyber analytics.  
​\- Experience building SOC metrics, dashboards, and reporting for operational visibility.  
​\- Familiarity with M365, Azure security tools, ServiceNow workflows, and CISA CDM tools.  
\- Relevant certifications such as CISSP, CISM, Microsoft Security Operations Analyst (SC\-200\), or Azure Security Engineer (AZ\-500\).

​Education \& Experience  
​\- Bachelor’s degree in Computer Science, Information Security, or related field (or equivalent experience).  
​\- ​5\+ years of progressive cybersecurity/SOC experience (engineering and operations).

Job Types: Full\-time, Contract

Pay: $70\.00 \- $75\.00 per hour

Education:

* Bachelor's (Preferred)

Experience:

* Regex, Fluent Bit, DCRs, KQL: 1 year (Preferred)
* PowerShell : 1 year (Required)
* Python: 1 year (Required)
* NIST Cybersecurity Framework: 1 year (Preferred)
* AI/ML frameworks : 1 year (Preferred)
* M365: 1 year (Preferred)
* SOC: 4 years (Required)
* Microsoft Sentinel SIEM/SOAR : 1 year (Required)

License/Certification:

* CISSP, CISM, or Azure Security Engineer (AZ\-500\) (Preferred)

Security clearance:

* Confidential (Preferred)

Work Location: Remote",,https://www.glassdoor.co.in/Overview/W-EI_IE4511165.htm,https://media.glassdoor.com/sql/4511165/pro-it-squarelogo-1626100463550.png,,,,,,,,,,,
gd-1009948851370,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1009948851370,,AI Engineer – Prachub (Startup),Prachub.com,,,direct_data,yearly,103751.0,124948.0,USD,True,,,organic,,"**About Us**  
Prachub is an early\-stage startup on a mission to make **tech interview prep transparent and accessible**. We curate real interview experiences, provide in\-browser SQL \& coding practice, and build role\-specific resources for SDE, Data, PM, and more.

We’re now looking for an **AI Engineer** to join our founding team. You’ll work at the intersection of product and machine intelligence, helping us bring cutting\-edge AI into the interview prep experience.

To be considered for this role, please include a **short cover letter** sharing your thoughts on how Prachub could be improved.

Our website: www.prachub.com

**What You’ll Do**

* Design and implement **AI\-powered features**: automated code review, personalized study plans, question difficulty ranking, etc.
* Build and integrate **LLM\-based systems** (e.g., GPT, open\-source models) into production.
* Work with the product team to prototype and iterate AI\-driven user experiences.
* Develop pipelines for training, fine\-tuning, and deploying models at scale.
* Stay up\-to\-date with emerging AI tools and evaluate their application to our platform.
* Help define our **long\-term AI strategy** and architecture.

**What We’re Looking For**

* Proficiency in **Python** and modern AI/ML frameworks (PyTorch, TensorFlow, HuggingFace, LangChain).
* Experience building applications with **LLMs, NLP, or recommender systems**.
* Familiarity with cloud deployment (AWS/GCP/Azure).
* Strong problem\-solving skills and the ability to move fast in a startup environment.
* Bonus: previous experience integrating AI into **edtech or community platforms**.
* A builder’s mindset: curious, resourceful, and ready to own projects end\-to\-end.

**Why Join Us?**

* **Impact**: Shape how thousands of students and professionals prepare for FAANG\+ interviews.
* **Ownership**: As one of the first AI hires, you’ll set the direction of AI at Prachub.
* **Mission\-driven**: We’re leveling the playing field in tech recruiting by making prep smarter and fairer.
* **Growth**: Early startup stage \= fast learning, big responsibility, rapid career growth.

Interested? Apply now or DM me — Apply https://prachub.com

Pay: $103,751\.10 \- $124,947\.56 per year

Application Question(s):

* If you were to use our platform (Prachub) for interview preparation, what types of questions or topics would be most valuable to you? (e.g., SQL challenges, real interview questions, case studies, product analytics problems, etc.)

https://prachub.com

Work Location: Remote",,https://www.glassdoor.co.in/Overview/W-EI_IE10828012.htm,,,,,,,,,,,,
gd-1009948201461,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1009948201461,,AI Automation Engineer,Suprha Svc LLC,,,direct_data,hourly,60.0,65.0,USD,True,,,organic,,"Role Overview

We are looking for a highly technical Engineer to design, build, and operationalize AI\-driven automation across the enterprise, with a strong emphasis on agent development in Glean. You will take complex cross\-functional business workflows (IT, HR, supply chain, operations, finance, etc.) and convert them into intelligent, production\-grade agents that leverage LLMs, retrieval pipelines, and API\-based orchestration.

What You’ll Work On

Designing and implementing Glean\-native agents, including:

Multi\-step orchestration flows

Retrieval and grounding strategies

Tool invocation and function execution

Enterprise knowledge integration

Building Slack automations using Bolt or similar frameworks—covering workflows, event listeners, command handlers, modal flows, and backend services

Developing reusable automation components and libraries that support multi\-step reasoning and tool\-use

Constructing LLM\-powered agents using frameworks like LangChain, LangGraph, or comparable agent ecosystems

Integrating automations with enterprise systems (Workday, Salesforce, Jira, ServiceNow, custom APIs, etc.) using secure, scalable patterns

Implementing telemetry, logging, governance, and security controls for production\-grade agent deployments

Working closely with product, IT, and business stakeholders to translate process requirements into deterministic, testable automation logic

Required Technical Skills

Deep hands\-on experience with Glean, including agent creation, orchestration flows, retrieval patterns, schema/connector understanding, and platform\-specific function invocation

Strong proficiency in Python, Node.js, or TypeScript, with the ability to write clean, modular code

Experience designing and deploying Slack\-native automations (Bolt or equivalent), with an understanding of Slack events, permissions, and workflow triggers

Solid knowledge of LLM agent frameworks (LangChain, LangGraph, or equivalent) and best practices for prompt engineering, grounding, and reasoning

Experience building scalable API integrations and working with REST/GraphQL endpoints

Familiarity with enterprise systems such as Workday, Salesforce, ServiceNow, or Jira

Understanding of enterprise security, authentication models (OAuth/SAML/JWT), logging, and monitoring for production environments

Preferred Experience

Prior experience with vector retrieval, embeddings, or semantic search

Knowledge of CI/CD pipelines for automation deployments

Familiarity with cloud infrastructure (AWS, GCP, Azure)

Experience with event\-driven architectures or message queues

Job Types: Full\-time, Contract

Pay: $60\.00 \- $65\.00 per hour

Work Location: Remote",,,,,,,,,,,,,,
gd-1009948399073,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1009948399073,,AI Deployment Engineer,Crescendo,,,,,,,,True,,,organic,careers@crescendo.ai,"**Role Details**

**Location:** United States  

**Work Arrangement:** Remote

 **About Us**

**Crescendo** represents peak CX performance in the AI era. We combine world\-class outsourcing expertise with innovative technology to set a new standard in CX and operations, delivering results that scale and support that never sleeps.


More than that, Crescendo is about people. We don’t just connect talent with opportunity—we create a place where careers grow, ideas thrive, and people are empowered to make an impact.


Join us at Crescendo, and let’s build the future of customer experience together.

 **The Role**


Crescendo is hiring an **AI Deployment Engineer** to manage technical implementation activities following a customer sale and throughout the customer’s onboarding process. You will ensure our customers have a successful implementation and onboarding \- on\-time and within budget. Onboarding a new Partner is arguably the most important milestone in their journey with Crescendo. Their anticipation and expectations are at an all\-time high during the time period immediately following contract execution. We can capitalize on this enthusiasm by providing an experience for our Partners that leads to early wins and sustained success.


In this role, you will collaborate with Product, Engineering, CX Design, Operations, and other internal stakeholders to ensure all new onboarding efforts accurately address Partner needs and are appropriately supported by key stakeholders.

 **What You’ll Do:**

* Collaborate with customers and pre\-sales teams to understand requirements through detailed discovery and information gathering.
* Work with Engineering and Product teams to review the scope, discuss CX design options, identify potential risks and establish timelines.
* Design, build, and deploy the CX bot.
* Collaborate with design engineering teams and the Partner to connect the Partner’s knowledge sources to the platform.
* Develop, test, and implement the models to enhance bot accuracy, performance and stability.
* Integrate bot with existing systems and platforms to provide seamless user experiences.
* Facilitate User Acceptance Testing with the Partner to validate the deployment.
* Oversee the bot's deployment to the production environment, ensuring a smooth launch.
* Continuously monitor and optimize bot performance, adjusting based on user feedback and analytics.
* Create operating procedures for support associates and ensure successful completion of their training on support systems and the AI bot.
* Serve as a liaison between Crescendo’s Product team and customers, capturing feedback and communicating product updates.
* Collaborate with Sales, Customer Success and other internal teams to ensure consistent customer experiences.

 **What We Expect From You:**

* 4\-6 years of experience building and deploying conversational AI solutions (voice and chat bots).
* 4\-6 years of experience in a customer\-facing implementation or consulting role, preferably in B2B SaaS or enterprise software
* Experience integrating AI solutions with support CRMs such as Zendesk, Gorgias, and Kustomer, including configuring workflows, ticketing logic, and data handoffs between systems
* Demonstrate strong practical knowledge of web technologies, including HTML, CSS and JavaScript.
* Excellent communication, presentation, and interpersonal skills, with the ability to influence and persuade C\-suite leaders and stakeholders.
* Demonstrated ability to collaborate with cross\-functional teams and stakeholders to achieve shared goals.
* Excellent project management and organizational skills, with the ability to prioritize and delegate tasks effectively.
* Strong analytical and problem\-solving abilities.

 **Here’s What’s On the Table**

* Take on challenges that actually move the needle in an industry ready for change.
* Earn competitive pay while building a career with endless opportunities.
* Enjoy remote work with the focus and flexibility to do your best work.
* Grow in an environment that rewards ambition and sharp execution.
* Thrive in a team environment where collaboration is the foundation of your success.
**Company Culture Is At Our Core**


Core values give our work intention and our culture its edge. They’re the standards we hold for ourselves, our partners, and each other.


* **Care for others:** Empathy is a key driver. When people thrive, so does the mission.
* **Embrace growth:** Curiosity fuels progress. Take bold risks, sharpen your edge, go forward.
* **Manifest trust:** Trust is our currency. Earn it daily, protect it fiercely, and let it fuel what’s next.
* **Take ownership:** Bold choices with integrity at the core—that’s how impact lasts.
* **Be humble:** Humility opens the door to better ideas. Hear others, lift others, keep learning.


**Crescendo** is proud to be an equal\-opportunity workplace. We value diversity, inclusion, equity, and belonging and these pillars are at the heart of how we work together. We are committed to providing equal employment opportunities regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity, Veteran status, or any other applicable legally protected characteristics in the location in which the candidate is applying. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements.


We are committed to the inclusion of all individuals and will make reasonable accommodations for qualified individuals with disabilities in our job application process. If you require assistance or accommodations to participate in the job application or interview process, please contact careers@crescendo.ai.


**PRIVACY NOTICE**


Crescendo is committed to ensuring your privacy and the protection of your personal data. By filling out the forms associated with your job application and submitting your data to us, you are giving us your consent to process your data and store it for potential recruitment and hiring purposes.


To understand more about Crescendo’s privacy program, including your rights and options for managing the personal data you submit to us, please visit our Privacy Center here.




CBaG16jF83",,https://www.glassdoor.co.in/Overview/W-EI_IE1425917.htm,https://media.glassdoor.com/sql/1425917/crescendo-squarelogo-1496122651617.png,,,,,,,,,,,
gd-1009948784740,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1009948784740,,Generative AI Engineer,GTA (Global Technology Associates),,,direct_data,yearly,140000.0,160000.0,USD,True,,,organic,,"**Key Responsibilities**

* Architect and develop end\-to\-end AI agent systems capable of multi\-step reasoning, planning, and self\-correction.
* Build modular agent architectures enabling collaboration and task delegation.
* Utilize, fine\-tune, and integrate LLMs and generative AI models to enable contextual agent behavior.
* Implement grounding techniques using real\-world data and context (RAG, vector DBs, etc.).
* Design and refine prompts to guide agent execution and behavior.
* Build orchestration flows for multi\-agent systems and automated task execution.
* Integrate agents with external tools, APIs, databases, and vector stores.
* Develop and maintain backend infrastructure supporting agent\-tool interactions.
* Ensure scalability, reliability, and observability of deployed agentic systems.
* Apply MLOps best practices for deployment, monitoring, and versioning.
* Stay current with advancements in agentic AI and contribute to innovation and experimentation.
* Conduct exploratory data analysis (EDA) to identify trends and patterns.
* Build dashboards and visualizations (Looker, Excel, etc.) to present insights.
* Collaborate with data scientists, product managers, and software engineers on requirements and execution.
* Communicate complex concepts clearly with both technical and non\-technical stakeholders.
* Mentor junior team members and participate in code reviews.

**Required Skills \& Qualifications**

* Bachelor’s/Master’s in CS, AI, or related field, or equivalent experience.
* Proficiency in Python and AI/ML libraries (PyTorch, TensorFlow, etc.).
* Experience building and deploying AI agents or other autonomous systems.
* Practical experience with LLMs, generative AI, and prompt engineering.
* Experience fine\-tuning LLMs and grounding models using RAG / vector DBs.
* Strong data analysis / EDA and ETL skills.
* Solid software engineering fundamentals (system design, testing, Git, etc.).
* Experience building backend infrastructure for AI/ML pipelines.
* Familiarity with cloud platforms (AWS, Azure, GCP).
* Proven experience using AI\-assisted workflows during development.
* Hands\-on experience with agentic frameworks (LangChain, LlamaIndex, AutoGen, Semantic Kernel).
* Strong problem\-solving and communication skills.
* Ability to mentor junior talent and conduct code reviews.

**Nice\-to\-Have**

* Experience with conversational AI / chatbots.
* Understanding of LLM security (prompt injection, etc.).
* Experience deploying AI models in low\-latency, high\-throughput environments.
* Portfolio of projects demonstrating experience with AI agents.

Job Type: Full\-time

Pay: $140,000\.00 \- $160,000\.00 per year

Application Question(s):

* Can you describe your hands\-on experience building AI agents or multi\-agent workflows using frameworks like LangChain, LangGraph, AutoGen, CrewAI, or Semantic Kernel?
* Have you worked on fine\-tuning LLMs (LoRA/QLoRA, RLHF) or designing advanced prompt orchestration for task planning or agent behavior?
* What experience do you have with RAG pipelines, embeddings, and vector databases such as FAISS, Pinecone, Weaviate, Milvus, or pgvector?
* Have you built systems where AI agents interact with external tools, APIs, databases, or backend services to complete tasks autonomously?
* Can you walk me through your background in Python, FastAPI, cloud platforms (AWS/GCP/Azure), and MLOps as they relate to deploying LLM or agentic AI systems?
* Current visa status
* Current Location
* Desired Salary

Work Location: Remote",,https://www.glassdoor.co.in/Overview/W-EI_IE2794874.htm,https://media.glassdoor.com/sql/2794874/global-technology-associates-gta-squarelogo-1634631188214.png,,,,,,,,,,,
gd-1009948365558,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1009948365558,,Senior Data Engineer – AI Solutions,Quisitive,"Austin, TX",,direct_data,yearly,131862.0,176393.0,USD,False,,,organic,,"Passionate team members, challenging projects and a great place to work! This is what you can expect if you join the Quisitive team. Founded in 2016, Quisitive is a global Microsoft services and solutions partner. We are a team of professionals with a strong reputation for successfully delivering award\-winning Microsoft solutions, including being ***named Microsoft's 2024 Analytics Partner of the Year***. Our culture of continual learning and innovation ensures that we remain committed to Microsoft's long\-term strategy.



What do we attribute our award\-winning success to? The people we hire, of course! Our team members join Quisitive for more than just a job. They come to Quisitive to contribute to something bigger than themselves – to be part of a high\-performing culture, continue their infinite quest to learn, and deliver innovative and exciting solutions that impact both Quisitive's and our customers' future success. Our leaders continuously strive to provide the tools and resources that you need to do what you do best each and every day!



We are currently hiring a **Sr. Data Engineer** with strong AI experience to join our team and help build the backbone of our data\-driven solutions. This role is perfect for someone who loves working with large\-scale data, optimizing pipelines, and exploring cutting\-edge AI technologies. You'll play a key role in designing and maintaining systems that power intelligent applications and knowledge management platforms.


***This role can be located anywhere in the United States.***


**What will this role entail?**


* Building and maintaining backend data ingestion and embedding pipelines
* Setting up environments, clone repositories, and running pipelines in JupyterHub
* Working on large\-scale ETL processes, including converting Iceberg tables to Parquet and exporting data to S3 buckets
* Designing and optimizing schemas for Neo4j\-based graph solutions
* Integrating knowledge workflows and KB articles into graph structures for advanced retrieval
* Troubleshooting data quality issues and optimizing Spark jobs for efficiency
* Implementing retry mechanisms and debugging full\-stack issues related to large file operations
* Managing secure access using JWT and Kerberos authentication
* Handling credentials for Oracle DB and API clients via HashiCorp Vault
* Working with GitLab for source control and Jira for project tracking
* Supporting migration efforts from Azure DevOps to GitLab/Jira environments


**What's required to be successful in this role?**


* Strong proficiency in Python for data processing and pipeline development
* Hands\-on experience with Spark, Iceberg, and large\-scale data frameworks
* Familiarity with Neo4j, LangChain, and LLM integration for AI\-driven solutions
* Experience with Oracle DB, PostgreSQL, and PGVector for embedding strategies
* Comfortable working with S3 buckets, Parquet, and CSV formats
* Exposure to embedding models like BGEM 3 and Nomic
* Understanding of AI\-powered retrieval and recommendation systems
* JupyterHub for testing/debugging
* Power BI for dashboard development and reporting
* Knowledge of Kerberos authentication and secrets management with HashiCorp Vault


We are looking for curious initiative takers to join our team, so if you are passionate about working with smart people that are committed to accomplishing great things, then apply today!


*Please, no third\-party agency inquiries, and we are unable to offer visa sponsorships at this time.*


**About Quisitive**



With significant growth since 2016, Quisitive is rapidly achieving our vision of becoming the leading global Microsoft partner as we continue to expand across the United States, Canada and India. With a diversified delivery model that includes both nearshore and offshore capabilities, our team of Microsoft experts delivers cloud and artificial intelligence business solutions and services that ensure our customers achieve their digital transformation goals. In addition, Quisitive offers a portfolio of industry\-focused solutions that address customer challenges in healthcare, manufacturing, state \& local government and performance management.",,https://www.glassdoor.co.in/Overview/W-EI_IE1468542.htm,https://media.glassdoor.com/sql/1468542/quisitive-squarelogo-1563204478187.png,,,,,,,,,,,
gd-1009948278384,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1009948278384,,Open Source Developer – Full Remote,Top web,,,direct_data,hourly,90.0,120.0,USD,True,,,organic,,"We are seeking talented open\-source contributors and experienced engineers to help review, maintain, and troubleshoot production\-level repositories. If you’re deeply familiar with Git, love solving complex problems, and enjoy contributing to real\-world code, this role is an excellent fit.

**Who You Are**

* An open\-source developer or maintainer with hands\-on experience contributing to or reviewing live repositories.
* Highly comfortable working with Git at an advanced level.
* Skilled in diagnosing repository issues, restoring broken histories, and resolving problems without data loss.

**Preferred Qualifications**

* 3\+ years of software engineering experience in open\-source, backend development, DevOps, or related fields.
* A proven track record of contributions on GitHub, GitLab, or other open\-source platforms.
* **Bonus:** Experience performing code reviews or evaluating AI/LLM\-generated code.

**Why Join Us**

* **Fully remote and flexible** – work from anywhere and on your own schedule.
* **High hourly compensation**: earn $90–$120/hour for your expertise.
* Convert your open\-source experience into impactful, valuable contributions.

We welcome applicants from all backgrounds and consider all qualified candidates without regard to legally protected characteristics. We also provide reasonable accommodations upon request.

If you're passionate about open\-source and ready for high\-impact work from anywhere in the world, we’d love to connect.

Job Type: Part\-time

Pay: $90\.00 \- $120\.00 per hour

Expected hours: 10 – 40 per week

Work Location: Remote",,,,,,,,,,,,,,
gd-1009948850564,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1009948850564,,Machine Learning Engineer – (Startup),Prachub.com,,,direct_data,yearly,121111.0,145855.0,USD,True,,,organic,,"**Machine Learning Engineer – Prachub (Early\-stage Startup)**

**About Us**  
Prachub is an early\-stage startup making **tech interview prep more transparent and accessible**. We curate real interview experiences, provide in\-browser SQL \& coding practice, and build resources across SDE, Data, PM, and more.

Now, we’re looking for our **first Machine Learning Engineer** to join the founding team. You’ll help us explore and build AI\-powered features that make interview prep smarter and more personalized.

To be considered for this role, please include a **short cover letter** sharing your thoughts on how Prachub could be improved.

Our website: www.prachub.com

**What You’ll Do**

* Design and implement ML/AI features to improve interview prep (e.g., automated feedback on coding, question difficulty ranking, personalized learning paths).
* Build and fine\-tune models for NLP tasks such as question classification, semantic similarity, and answer evaluation.
* Collaborate with engineers and products to integrate ML into core workflows.
* Set up scalable pipelines for training, evaluation, and deployment.
* Research and prototype with LLMs and generative AI to enhance user experience.
* Lay the foundation for a long\-term **AI/ML roadmap** at Prachub.

**What We’re Looking For**

* Degree in CS, Data Science, or related field (or equivalent experience).
* 1\+ years of ML/AI experience (internships/projects count).
* Strong skills in **Python \+ ML frameworks** (PyTorch, TensorFlow, HuggingFace, LangChain).
* Experience with **NLP, recommender systems, or generative AI**.
* Familiarity with cloud platforms (AWS/GCP/Azure) and deployment pipelines.
* Bonus: experience integrating AI into production\-facing apps.
* Startup mindset: resourceful, scrappy, comfortable wearing multiple hats.

**Why Join Us?**

* **Impact**: Your models will directly shape how thousands of students prepare for interviews.
* **Ownership**: First ML hire — you’ll set the technical direction and best practices.
* **Mission\-driven**: Help level the playing field in tech recruiting by making prep fairer and more accessible.
* **Growth**: Be part of an early team with opportunities to grow into leadership as we scale.

Apply now or DM me. https://prachub.com

Pay: $121,111\.36 \- $145,854\.53 per year

Application Question(s):

* If you were to use our platform (Prachub) for interview preparation, what types of questions or topics would be most valuable to you? (e.g., SQL challenges, real interview questions, case studies, product analytics problems, etc.)

https://prachub.com

Work Location: Remote",,https://www.glassdoor.co.in/Overview/W-EI_IE10828012.htm,,,,,,,,,,,,
gd-1009948234064,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1009948234064,,AI Software Developer,"IT Engagements,Inc.",,,direct_data,hourly,65.0,65.0,USD,True,,,organic,divya@itengagements.com,"Hi,

Greetings from IT Engagements IT Engagements is a global staff augmentation firm providing a wide\-range of talent on\-demand and total workforce solutions. We have an immediate opening for the below position with one of our premium clients.

* **Role: AI Software Developer**
* **Start: ASAP**
* **Location: Remote – USA – EST timezone**
* **Duration: 12months\+ extensions**

**Responsibilities:**

* Design and build agentic systems that autonomously perform tasks, interact with users, and adapt to dynamic environments.
* Write clean, scalable, and maintainable code, following best practices and design patterns.
* Collaborate with architecture, product, security, and engineering teams to align solutions with business goals.
* Research and experiment with emerging AI frameworks and design principles to keep our systems cutting\-edge.
* Develop prototypes and proofs of concept, evolving them into production\-ready solutions.
* Deploy and manage AI solutions on cloud platforms (AWS, Azure, GCP) ensuring top performance and scalability.

**Required Skills:**

* 5\+ years in AI/ML engineering, with 2\+ years focused on agentic AI or autonomous systems.
* Proven experience building multi\-agent systems from scratch.
* Ability to move AI agents from PoC to production.
* Hands\-on experience with Agentic Frameworks (LangChain, LangGraph, ADK).
* Knowledge of LLM Integration Platforms (OpenAI API, Claude API, Azure OpenAI, Vertex AI, vLLM, Ollama).
* Familiarity with tool\-using AI systems: function calling, API integrations, IDEs (Cursor, Windsurf), notebooks (Jupyter).

**Thanks and Regards**

**Divya kumari**

**Technical Recruiter**

**divya@itengagements.com** 

Job Type: Contract

Pay: From $65\.00 per hour

Work Location: Remote",,https://www.glassdoor.co.in/Overview/W-EI_IE6118143.htm,,,,,,,,,,,,
gd-1009947503983,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1009947503983,,AI/LLM Engineer (remote),Safe Sign Technologies,"Cambridge, MA",,direct_data,yearly,150000.0,150000.0,USD,False,,,organic,,"Join Safe Sign Technologies, a cutting\-edge legal technology start\-up founded at the University of Cambridge. Safe Sign aims to democratise the law for all people, equipping consumers and SMEs with robust and reliable tools to navigate legal complexity. As an **AI/LLM Engineer**, you will work alongside a world\-leading team, innovating and delivering best\-in\-class technologies, often in demanding conditions and against challenging deadlines. Independent working, subject matter excellence and proactiveness are essential.

 **Responsibilities**


* LLM prompt engineering (Instruction Tuning, Chain\-of\-thought, automated prompt Engineering)
* LLM training \& fine\-tuning (Parameter Efficient, Few\-medium shot, )
* Experimentation
* Analysis and presenting results
* Active study and keeping up with research literature
* Ability to work independently
* Ability to work towards an agreed goal and meet demanding deadlines

**Qualifications and experience**

* Bachelor's degree in Computer Science, Engineering, Mathematics or related fields
* Ability to implement and verify state\-of\-the\-art algorithms
* Experience running and managing experiments, analysing results and creating insights
* Proficiency in software development (Python, Github, Jupyer Notebooks, etc.)
* Proficiency with deep learning packages (such as PyTorch, Jax, or TensorFlow)
* Experience with ML / LLM Software packages (e.g. HuggingFace, wandb, numpy, matplotlib, NLTK, etc.)
* Good problem\-solving and communication skills
* Ability to work in a dynamic and fast\-paced environment
* Ability to demonstrate passion and knowledge in terms of relevant research topics
* Experience solving complex technical problems

**Qualifications and experience (preferred)**

* Master's or PhD in NLP or Machine Learning
* First author/lead author publications at leading AI and NLP conferences (such as EMNLP, ACL, ICLR, ICML, NeuRIPS)
* Demonstrated projects where relevant expertise has been used for real problems
* Several years of experience working in this field

**Salary \& Benefits**

* Up to $150k/year salary
* Real ability to shape technical agenda and have a deep impact
* Mentorship and advice from top ML scientists (ex\- or current DeepMind, Cambridge, UCL, Harvard)
* Fully remote working",,https://www.glassdoor.co.in/Overview/W-EI_IE9387560.htm,,,,,,,,,,,,
