id,site,job_url,job_url_direct,title,company,location,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
gd-1009947711094,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1009947711094,,Full Stack Software Engineer,Lineage Technologies,,,direct_data,yearly,200000.0,400000.0,USD,True,,,organic,,"**About Lineage**



At Lineage, we're transforming real estate investment by simplifying the process of discovering and investing in real estate in order to build generational wealth for our customers. We provide a modern, all\-in\-one platform that helps investors, property managers, and partners succeed through hands\-on education, asset management, and investment property marketplace. With over $1\.5 billion in transactions, we're simplifying rental property ownership and empowering everyday people to build long\-term wealth—anytime, anywhere.


**Position Overview**



We're growing our engineering organization and hiring multiple **Full Stack Software Engineers** with varying degrees of experience. If you excel at building end\-to\-end systems \- combining thoughtful backend architecture with intuitive, performant front\-end experiences, this is the team for you.



We welcome engineers who bring deep experience across the stack. If you have the skills, we have meaningful problems for you to own. You'll join a collaborative, remote environment where curiosity, quality, and continuous learning are celebrated. Together we'll shape how we design, build, and scale the technology that powers our mission to make real estate investing more accessible to all.



**Key Responsibilities**


* Design, implement, and maintain scalable, reliable, and secure full stack applications.
* Build and maintain modern single\-page applications (SPAs), APIs, and supporting services.
* Integrate and unify third\-party data sources within relational and NoSQL datastores.
* Write clean, well\-tested code.
* Apply strong testing practices (unit and integration) to ensure production\-ready quality.
* Participate in code reviews and share thoughtful, constructive feedback.
* Collaborate with product, design, and engineering teammates to deliver great user experiences.
* Continuously learn and apply new tools, frameworks, and techniques to improve how we build.


**Qualifications**


* 6\+ years of experience as a full stack software engineer.
* Strong experience in cloud\-native development using AWS (Lambda, ECS, API Gateway, S3, SNS, SQS, Step Functions and DynamoDB).
* Experience building SPAs and APIs with React.js and supporting backend services.
* Proficiency with Python, SQL, and TypeScript in production environments.
* Experience writing and maintaining unit and integration tests.
* Proven ability to design and implement CI/CD pipelines in cloud\-based workflows, ensuring consistent, automated deployments.
* Practical understanding of secure coding practices and how to address the OWASP Top 10 vulnerabilities in real\-world applications.
* Comfortable working with agentic AI\-powered development tools (e.g., Cursor, Claude Code) to accelerate development without sacrificing quality.
* Pixel\-perfect front\-end skills including proficiency implementing mobile\-first UI designs provided by a designer.
* Experience developing with modern frameworks such as Next.js and styling systems like Tailwind CSS.
* Exposure to or interest in programming languages such as Rust, with a willingness to expand into other technologies when needed.
* A commitment to clarity, quality, and accountability in your code and communication.
* A willingness to work closely with others and contribute to a team\-driven culture.
* A 'Stronger Together' attitude and a desire to do your best work in an open, respectful environment.


**Additional Requirements**



Candidates must be able to perform essential functions as outlined above, including but not limited to:


* Operate a computer and sit for long periods of time
* Repeat motions that may include the wrists, hands, or fingers
* Position is sedentary with occasional light lifting

  


**Our Core Values**


**FUN:** We create authentic moments of enjoyment with our team and customers. Winning is fun, but so is playing the game.


**TRUST:** We act with integrity in all aspects of our business, building confidence inside and outside our organization.


**DWYSYD (Do What You Say You Will Do):** We are reliable, consistent, and take commitments seriously. Accountability drives performance.


**TRANSPARENCY:** Clear communication and shared awareness allow us to address challenges head\-on and make better decisions.


**TEAM FOCUS:** We leverage collective capabilities and empower others to do great things. Collaboration drives success.


**RESULTS DRIVEN:** We maintain constant focus on achieving measurable goals aligned with our mission and objectives.

  


**Why Join Lineage?**


**Growth \& Impact:** We're 3x\-ing our team over the next 12 months. You'll have significant autonomy, direct mission impact, and clear paths to leadership as we revolutionize how millions invest in real estate.


**Remote\-First:** We thrive as a globally distributed team with a bias for action, staying true to our core values while defining the future of real estate investing.


**Your Opportunity:** We're making institutional\-grade investing accessible to everyone \- work that's both technically challenging and deeply meaningful.


**We're looking for:** Ambitious people excited to tackle big challenges. No ""perfect"" candidate exists—we encourage applications even if you don't check every box. Lineage is where you grow professionally while contributing to something bigger than yourself.

  


**Compensation and Benefits**


**Salary Range:** $200,000 \- $400,000 per year, commensurate with skills and experience


**Equity Grants:** Ownership opportunities through our employee equity program


**Flexible PTO:** Take time when you need it


**Remote\-First:** Work with a high\-performing, distributed team


**Health Coverage:** 75% company\-paid medical, dental, and vision insurance

  


*Lineage is committed to creating an inclusive and respectful work environment where everyone brings their authentic self to work. We do not discriminate based on race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, disability status, or any other protected status under applicable law.*

  

**Notice to California Applicants:**



We collect personal information as part of the job application process in accordance with the California Consumer Privacy Act (CCPA). This includes identifiers, work history, and other relevant details used for recruitment purposes. We retain your data for up to 12 months and do not sell or share it for commercial purposes.",,https://www.glassdoor.co.in/Overview/W-EI_IE670395.htm,https://media.glassdoor.com/sql/670395/lineage-squareLogo-1625847937169.png,,,,,,,,,,,
gd-1009947733243,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1009947733243,,Software Engineer II,PlayStation Global,,,direct_data,yearly,163700.0,245500.0,USD,True,,,organic,,"Position Type:
Location(s):
United States, Remote
Date Posted:
Job ID:
R\-122414
  
**Why PlayStation?**


PlayStation isn’t just the Best Place to Play — it’s also the Best Place to Work. Today, we’re recognized as a global leader in entertainment producing The PlayStation family of products and services including PlayStation®5, PlayStation®4, PlayStation®VR, PlayStation®Plus, acclaimed PlayStation software titles from PlayStation Studios, and more.


PlayStation also strives to create an inclusive environment that empowers employees and embraces diversity. We welcome and encourage everyone who has a passion and curiosity for innovation, technology, and play to explore our open positions and join our growing global team.


The PlayStation brand falls under Sony Interactive Entertainment, a wholly\-owned subsidiary of Sony Group Corporation.

**Seeking multiple positions \| multiple levels of experience**

**Why PlayStation?**


PlayStation isn’t just the Best Place to Play — it’s also the Best Place to Work.


Today, we’re recognized as a global leader in entertainment producing the PlayStation family of products and services including PlayStation®5, PlayStation®4, PlayStation®VR, PlayStation®Plus, acclaimed PlayStation software titles from PlayStation Studios, and more.


PlayStation also strives to create an inclusive environment that empowers employees and embraces diversity. We welcome and encourage everyone who has a passion and curiosity for innovation, technology, and play to explore our open positions and join our growing global team.


The PlayStation brand falls under Sony Interactive Entertainment, a wholly owned subsidiary of Sony Corporation.

### **Responsibilities**

* Design, develop, test, and document React and React Native–based cross\-platform client applications that deliver seamless and consistent user experiences across desktop and mobile environments, including iOS, iPadOS, and macOS.
* Work closely with Product Owners and Product Managers to translate product requirements into well\-structured, maintainable code.
* Collaborate with cross\-functional teams to define and refine technical approaches that support performance, accessibility, and scalability.
* Write robust unit and component tests to ensure reliability and prevent regressions.
* Review and provide feedback on design documents and pull requests.
* Continuously learn, experiment, and bring forward innovative ideas — participate in Hackathons and Café Days to help shape the future of PlayStation experiences.
* Contribute to evolving engineering standards and advocate for clean, sustainable coding practices.

### **Required Qualifications**

* Bachelor’s degree in Computer Science or a related field, or at least three years of equivalent professional experience.
* 2\+ years of front\-end or full\-stack development experience.
* Proficiency in HTML, CSS, JavaScript/TypeScript, and experience with frameworks such as React and React Native.
* Experience developing and debugging cross\-platform applications for environments such as iOS, iPadOS, and macOS.
* Strong problem\-solving skills and a passion for quality software.
* Excellent communication skills and a collaborative mindset.

### **Preferred Qualifications**

* Hands\-on experience with React Native bridges and native integrations using Objective\-C, Swift, or C\+\+.
* Familiarity with GraphQL, REST APIs, and containerization tools such as Docker.
* Understanding of cross\-platform build pipelines and CI/CD practices.
* Experience working with performance optimization, accessibility, and responsive design principles.
* Curiosity about AI\-assisted development tools or automation that improves developer productivity.

 ***Please refer to our*** ***Candidate Privacy Notice*** ***for more information about how we process your personal information, and your data protection rights.***

  

At SIE, we consider several factors when setting each role’s base pay range, including the competitive benchmarking data for the market and geographic location.  

  

Please note that the base pay range may vary in line with our hybrid working policy and individual base pay will be determined based on job\-related factors which may include knowledge, skills, experience, and location.  

  

In addition, this role is eligible for SIE’s top\-tier benefits package that includes medical, dental, vision, matching 401(k), paid time off, wellness program and coveted employee discounts for Sony products. This role also may be eligible for a bonus package.

  

The estimated base pay range for this role is listed below.
$163,700—$245,500 USD**Equal Opportunity Statement:**

*Sony is an Equal Opportunity Employer. All persons will receive consideration for employment without regard to gender (including gender identity, gender expression and gender reassignment), race (including colour, nationality, ethnic or national origin), religion or belief, marital or civil partnership status, disability, age, sexual orientation, pregnancy, maternity or parental status, trade union membership or membership in any other legally protected category.*

*We strive to create an inclusive environment, empower employees and embrace diversity. We encourage everyone to respond.*

*PlayStation is a Fair Chance employer and qualified applicants with arrest and conviction records will be considered for employment.*",,https://www.glassdoor.co.in/Overview/W-EI_IE117138.htm,https://media.glassdoor.com/sql/117138/playstation-squareLogo-1613048017082.png,,,,,,,,,,,
gd-1009947502490,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1009947502490,,Python Developer: Real-Time Intelligent Communication Systems,Entratus,"Orlando, FL",,,,,,,False,,,organic,,,,,,,,,,,,,,,,
gd-1009947263103,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1009947263103,,Autonomy Applications Engineer,Edge Autonomy,"San Luis Obispo, CA",,direct_data,yearly,140000.0,170000.0,USD,False,,,organic,,,,https://www.glassdoor.co.in/Overview/W-EI_IE3603772.htm,https://media.glassdoor.com/sql/3603772/jennings-aeronautics-squarelogo-1643375343110.png,,,,,,,,,,,
gd-1009947106417,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1009947106417,,Software Engineer I (entry),Jerry,"Palo Alto, CA",,direct_data,yearly,70000.0,110000.0,USD,False,,,organic,recruiting@jerry.ai,"Hi there! If you're looking to make a real\-world impact fast while leveling up your skills in a high\-growth startup, we might be the right place for you!**Why join Jerry?**


We’re Jerry, and we’re building the first AI\-powered AllCar™ app to completely rethink what it means to own a car. Car insurance, maintenance, repairs, financing—we’re simplifying it all into one seamless mobile experience. Our users already save over $1,000/year with us, and we’ve grown revenue 60x in the last 5 years.


Now we’re scaling from 5M to 50M users, and we need sharp, curious engineers located in the SF area to help us get there.


**Here’s what you’ll get:**


✅ Impact from Day One — you’ll be writing production code within your first few weeks.


✅ Backed and booming — we’ve raised $240M\+ and are cash\-flow positive.


✅ Modern tech stack — React, Node, Python, AWS, TypeScript, and more.


✅ Mentorship \+ learning — work with top engineers from companies like Nvidia, TikTok, and Cepton.


✅ Merit\-based growth — no seniority theater here. You grow fast if you deliver and learn fast.


**What you’ll be working on**


You’ll join one of our engineering pods (core app, retention, automation) depending on your interests and skills. Every team ships regularly, works closely with product, and contributes to a mission that matters.


We don’t expect you to know everything on day one, but we do expect:

* A love for learning
* Comfort with ambiguity
* Hustle and curiosity
* Pride in building high\-quality, user\-first software

**Our stack:**

* Frontend: React, React Native
* Backend: NodeJS \+ TypeScript
* Infra: AWS, Go, Python, Docker, CI/CD
* Data: Redis, Postgres, DynamoDB, Clickhouse
* AI/ML: Python pipelines, LLM integrations, internal models


You don’t need to know it all—but if some of that excites you, let’s talk.


**What we’re looking for:**

* Bachelor’s degree in Computer Science, Engineering, or a related field
* Internship, co\-op, or side project experience is a plus—but not required
* Eagerness to learn, build, and grow

*While we appreciate your interest and application, only applicants under consideration will be contacted.*

*Jerry.ai is proud to be an Equal Employment Opportunity employer. We prohibit discrimination based on race, religion, color, national origin, sex, pregnancy, reproductive health decisions or related medical conditions, sexual orientation, gender identity, gender expression, age, veteran status, disability, genetic information, or other characteristics protected by applicable local, state or federal laws.*

*Jerry.ai is committed to providing reasonable accommodations for individuals with disabilities in our job application process. If you need assistance or an accommodation due to a disability, please contact us at* *recruiting@jerry.ai*

*The successful candidate’s starting pay will fall within the pay range listed on this job posting, determined based on job\-related factors including, but not limited to, skills, experience, qualifications, work location, and market conditions. Ranges are market\-dependent and may be modified in the future. In addition to base salary, the compensation may include opportunities for equity grants.*

*We offer a comprehensive benefits package to regular employees, including health, dental, and vision coverage, paid time off, paid parental leave, 401(K) plan with employer matching, and wellness benefits, among others. Equity opportunities may also be part of your total rewards package. Part\-time, contract, or freelance roles may not be eligible for certain benefits.*

**About Jerry.ai:**


Jerry.ai is America’s first and only super app to radically simplify car ownership. We are redefining how people manage owning a car, one of their most expensive and time\-consuming assets.


Backed by artificial intelligence and machine learning, Jerry.ai simplifies and automates owning and maintaining a car while providing personalized services for all car owners' needs. We spend every day innovating and improving our AI\-powered app to provide the best possible experience for our customers. From car insurance and financing to maintenance and safety, Jerry.ai does it all.


We are the \#1 rated and most downloaded app in our category with a 4\.7 star rating in the App Store. We have more than 5 million customers — and we’re just getting started.


Jerry.ai was founded in 2017 by serial entrepreneurs and has raised more than $240 million in financing.


Join our team and work with passionate, curious and egoless people who love solving real\-world problems. Help us build a revolutionary product that’s disrupting a massive market.",,https://www.glassdoor.co.in/Overview/W-EI_IE3856415.htm,https://media.glassdoor.com/sql/3856415/jerry-squareLogo-1621521925324.png,,,,,,,,,,,
gd-1009946671279,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1009946671279,,AI Audio Engineer (DiffSinger / Singing Synthesis),Turing Opera Workshop,,,direct_data,hourly,80.0,150.0,USD,True,,,organic,,"**The Role**  
Cantai is developing a high\-fidelity **DiffSinger** engine. We need an end\-to\-end AI Audio Specialist to take raw vocal recordings and turn them into production\-ready singing voice models.

You will be responsible for **executing the full technical pipeline**—from data strategy to final acoustic model inference—ensuring state\-of\-the\-art output.

**Core Responsibilities**

* **End\-to\-End Pipeline Execution:** Independently manage the full workflow: Data Prep →→ Training →→ Inference.
* **Advanced Data Engineering:** Implement\[2] and refine automated alignment tools (e.g., Montreal Forced Aligner) to label phonemes, pitch, and duration. Note: This role requires hands\-on verification of data accuracy.
* **Model Training:** Train and fine\-tune **DiffSinger** acoustic models and variance adaptors for specific target voices.
* **Vocoder Integration:** Train or adapt neural vocoders (HiFi\-GAN, NSF, etc.) for maximum audio fidelity.
* **Optimization:** Troubleshoot common synthesis issues (slurring, robotic pitch, metallic artifacts) and iterate on hyperparameters to fix them.

**Requirements**

* **Proven DiffSinger Experience:** You must have successfully trained DiffSinger (or very similar SVS architectures) before.
* **Data Processing Mastery:** Expert proficiency with Python, MFA (Montreal Forced Aligner), Praat, and phoneme dictionaries.
* **Deep Learning Stack:** Strong grasp of PyTorch and GPU environment management.
* **Audio Domain Knowledge:** You understand DSP basics (spectrograms, mel\-bands, F0 estimation) and musical concepts (pitch, vibrato, timing).

**Bonus Points**

* Experience with OpenVPI, NNSVS, or Fish Diffusion.
* Background in music theory or vocal pedagogy.
* Experience exporting models for production (ONNX/C\+\+).

Job Types: Full\-time, Contract

Pay: $80\.00 \- $150\.00 per hour

Expected hours: 30 – 40 per week

Benefits:

* Flexible schedule
* Professional development assistance

Work Location: Remote",,,,,,,,,,,,,,
gd-1009946850039,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1009946850039,,Automation Engineer,GoodLeap,,,direct_data,yearly,121000.0,141000.0,USD,True,,,organic,,"About GoodLeap:
GoodLeap is a technology company delivering best\-in\-class financing and software products for sustainable solutions, from solar panels and batteries to energy\-efficient HVAC, heat pumps, roofing, windows, and more. Over 1 million homeowners have benefited from our simple, fast, and frictionless technology that makes the adoption of these products more affordable, accessible, and easier to understand. Thousands of professionals deploying home efficiency and solar solutions rely on GoodLeap’s proprietary, AI\-powered applications and developer tools to drive more transparent customer communication, deeper business intelligence, and streamlined payment and operations. Our platform has led to more than $30 billion in financing for sustainable solutions since 2018\.

GoodLeap is also proud to support our award\-winning nonprofit, GivePower, which is building and deploying life\-saving water and clean electricity systems, changing the lives of more than 1\.6 million people across Africa, Asia, and South America.  

We are looking for a passionate and detail\-oriented Software Engineer with experience in AI\-powered automation to help streamline operations across various teams at Goodleap. In this role, you will design, build, and maintain automation workflows that leverage cutting\-edge tools and services such as Zapier, N8N, Atlassian JSM, Slack and Zoom automation, AWS services, and more. You’ll bring efficiency and intelligence into day\-to\-day processes by applying modern automation practices and integrating AI\-driven features provided by these platforms.  

The ideal candidate will have a strong foundation in scripting and software systems, hands\-on experience with automation tools, and a mindset for continuous improvement. You will collaborate closely with cross\-functional stakeholders to identify opportunities, design robust solutions, and implement automation that reduces manual effort and enhances productivity.### **Essential Job Duties and Responsibilities**

* Design, develop, and maintain automation workflows using tools like Zapier, N8N, Atlassian JSM, Slack and Zoom apps, and AWS Lambda.
* Evaluate and integrate AI\-powered features of automation platforms to intelligently route, prioritize, and respond to workflows.
* Partner with internal teams (engineering, operations, support, product) to identify repetitive processes and implement scalable, reliable automation solutions.
* Build and maintain dashboards or monitoring solutions to track automation performance and health.
* Write custom scripts using JavaScript, Python, or other suitable languages to extend automation capabilities.
* Contribute to the documentation and best practices of automation strategies at Goodleap.
* Collaborate with security and infrastructure teams to ensure automations comply with enterprise standards.

### **Required Skills, Knowledge, and Abilities**

* 3\+ years of software engineering or technical automation experience.
* Proficiency in scripting (e.g., JavaScript, Python, TypeScript).
* Hands\-on experience with one or more automation platforms such as Zapier, N8N, Workato, or similar.
* Familiarity with cloud platforms like AWS (especially Lambda, S3, Step Functions).
* Experience integrating APIs and webhooks for automation purposes.
* Strong understanding of system design, modular architecture, and debugging.
* Effective communicator with strong collaboration and problem\-solving skills.

  

Bonus Points* Certifications in relevant platforms (e.g., Zapier Expert, AWS Certified Developer).
* Experience automating tasks in Slack, Zoom, Atlassian tools, or Salesforce.
* Exposure to AI/ML\-based automation tools or low\-code platforms with AI integrations.
* Experience working in fintech, SaaS, or highly regulated industries.
* Familiarity with Git\-based workflows and CI/CD pipelines.

  

In addition to the above salary, this role may be eligible for a bonus.**Additional Information Regarding Job Duties and Job Descriptions:**  

Job duties include additional responsibilities as assigned by one's supervisor or other managers related to the position/department. This job description is meant to describe the general nature and level of work being performed; it is not intended to be construed as an exhaustive list of all responsibilities, duties and other skills required for the position. The Company reserves the right at any time with or without notice to alter or change job responsibilities, reassign or transfer job position or assign additional job responsibilities, subject to applicable law. The Company shall provide reasonable accommodations of known disabilities to enable a qualified applicant or employee to apply for employment, perform the essential functions of the job, or enjoy the benefits and privileges of employment as required by the law. **If you are an extraordinary professional who thrives in a collaborative work culture and values a rewarding career, then we want to work with you! Apply today!**  

We are committed to protecting your privacy. To learn more about how we collect, use, and safeguard your personal information during the application process, please review our **Employment Privacy Policy** and **Recruiting Policy on AI**.

We may use artificial intelligence (AI) tools to support parts of the hiring process, such as reviewing applications, analyzing resumes, or assessing responses. These tools assist our recruitment team but do not replace human judgment. Final hiring decisions are ultimately made by humans. If you would like more information about how your data is processed, please contact us.",,https://www.glassdoor.co.in/Overview/W-EI_IE1643687.htm,https://media.glassdoor.com/sql/1643687/loanpal-squareLogo-1622639065079.png,,,,,,,,,,,
gd-1009946759205,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1009946759205,,"Senior iOS Software Engineer, Ads",GameChanger,"New York, NY",,direct_data,yearly,160000.0,180000.0,USD,False,,,organic,-reply@ashby.hq.com,"**About GameChanger:**


We believe in the life changing impact youth sports have on and off the field. Sports encourage leadership, teamwork, responsibility, and confidence – important life lessons that have the power to propel our youth toward meaningful futures. We recognize that without coaches, parents, and volunteers, organized youth sports could not exist. By building the first and best place to experience the youth sports moments important to our community, we are helping families elevate the next generation through youth sports.


So if you love sports and their community building potential, or building cool products is your sport, GameChanger is the team for you. We are a remote first, dynamic tech company based in New York City, and we are solving some of the biggest challenges in youth sports today.

**The Position:**


The Ads team is responsible for building new mobile ad experiences that help GameChanger grow while keeping the product simple and useful for coaches, parents, and fans. This is a small team where every engineer meaningfully contributes in shaping our mobile advertising foundation. As a Senior iOS Engineer, you will report to the Senior Engineering Manager of our Ads team and bring strong expertise in building and shipping native mobile apps to deliver high quality, performance features in our iOS application. You will collaborate closely with product, design, and engineering partners to create ad experiences that feel intuitive, non disruptive, and aligned with what users value most about GameChanger. This role is ideal for someone who takes ownership, is energized by hands\-on work and enjoys building native mobile applications.

**What You'll Do:**

* Lead development of new advertising features and components in our native iOS app, including new ad surfaces, rendering logic, and mobile first UI.
* Build high quality, user facing features in Swift or SwiftUI that balance business goals with a seamless product experience.
* Partner with product and design to shape mobile ad requirements, propose technical approaches, and influence the direction of in app advertising.
* Collaborate with engineers across iOS, backend, and data teams to make architectural decisions that support ad delivery, measurement, and performance.
* Promote clarity and understanding on complex problems, especially when working through tradeoffs across user experience, performance, and reliability.
* Ensure the reliability, maintainability, and performance of new ad surfaces, including instrumentation, testing strategies, and ongoing iteration after release.
* Contribute to and uphold strong engineering practices, including code quality, documentation, and review processes.
* Mentor teammates and share knowledge across the broader iOS engineering group.
* Our apps are written in Swift and have a Reactive architecture using technologies like Swift Composable Architecture (TCA), SwiftUI, Realm, and RxSwift.

**Who You Are:**

* 4\+ years of experience building and shipping native iOS applications in Swift or SwiftUI
* Own feature development and work from concept through launch.
* Experience working on mobile UI, design systems, or performance\-sensitive features.
* Knowledge of the Advertising industry's main concepts and technologies like ad serving, bidding, and targeting.
* Familiarity with data privacy laws and regulations.
* Comfortable working in small team environments with high autonomy, broad ownership, and close partnership with product and design
* Ability to evaluate new technologies and introduce improvements to the iOS codebase.
* Experience giving and receiving feedback through design and code reviews.
* Experience communicating updates and resolutions to teammates about technical tradeoffs and propose scalable solutions.
* Excited about AI tools and using them to increase quality and efficiency.
* Experience mentoring engineers or contributing to team\-wide technical growth.

**Perks:**

* Work remotely throughout the US\* or from our well\-furnished, modern office in Manhattan, NY.
* Unlimited vacation policy.
* Paid volunteer opportunities.
* Technology stipend \- $4,000 every 2 years after your start to make sure you have the latest and greatest technology
* WFH stipend \- $500 annually to make your WFH situation comfortable.
* Learning stipend \- $500 annually towards continued development
* Monthly physical, mental, wellness \& learning stipend offered through Holisticly
* Monthly lifestyle stipend offered through Fringe
* Full health benefits \- medical, dental, vision, prescription, FSA, HRA, HSA, and coverage for family/dependents.
* Retirement savings \- Traditional and Roth 401K plans are offered through Vanguard, with an immediate company match.
* Life insurance \- basic life, supplemental life, and dependent life.
* Disability leave \- short\-term disability and long\-term disability.
* Company paid parental leave \- up to 20 weeks for birthing parents and up to 12 weeks for non\-birthing parents.
* Family building benefits offered through Progyny.
* DICK'S Sporting Goods and their family of brands teammate discount.

*The target salary range for this position is between $160,000 and $180,000\. This is part of a total compensation package that includes incentive, equity, and benefits for eligible roles. Individual pay may vary from the target range and is determined by several factors including experience, internal pay equity, and other relevant business considerations. We constantly review all teammate pay to ensure a great compensation package that is fair and equal across the board.*

* *DICK'S Sporting Goods has company\-wide practices to monitor and protect the company from significant compliance and monetary implications as it pertains to employer state tax liabilities. Due to said guidelines put in place, we are unable to hire in AK, DE, HI, IA, LA, MS, MT, OK, and SC.*


We are an equal opportunity employer and value diversity in our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

**Our Interview Process \& AI**


We recognize that AI has become a common part of everyday life and professional work, and its use continues to evolve rapidly. Our perspective on AI in the hiring process will evolve as well. At this time, we ask that candidates please refrain from using AI tools during interviews and assessments, as we want to see your authentic self. We will clearly indicate if and when AI use is acceptable in the process. If you have any questions or need accommodations, we're here to help. Thanks for helping us keep the process fair and secure for everyone!

**IMPORTANT NOTICE:** All official recruitment communications from GameChanger will come from an email address ending in @gc.com or no\-reply@ashby.hq.com. If you receive communication from any other domain, please be cautious, as it is likely fraudulent.


Compensation Range: $160K \- $180K",,https://www.glassdoor.co.in/Overview/W-EI_IE784059.htm,https://media.glassdoor.com/sql/784059/gamechanger-squarelogo-1505751418846.png,,,,,,,,,,,
gd-1009946635714,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1009946635714,,Back End Developer for Vibe Code Projects,hafferi,,,direct_data,hourly,9.0,9.0,USD,True,,,organic,,,,,,,,,,,,,,,,
gd-1009946762672,glassdoor,https://www.glassdoor.co.in/job-listing/j?jl=1009946762672,,Senior Generative AI Engineer,"EIS Group, Inc.",,,,,,,,True,,,organic,,,,https://www.glassdoor.co.in/Overview/W-EI_IE749119.htm,https://media.glassdoor.com/sql/749119/eis-group-squareLogo-1670594552351.png,,,,,,,,,,,
